1129	937
1329	1166
1630	1510
2512	2418
2937	2959
2961	3061
2574	2636
2708	2644
3200	3209
3918	3931
4767	4706
5105	4999
4981	4725
4780	4533
4753	4530
4992	4738
5526	5306
6075	5785
6319	5988
6290	5790
5932	5206
5234	4518
4838	4159
4840	4198
5038	4182
5165	4137
4643	3811
3879	3048
3352	2348
2863	1642
2587	1235
2754	1412
2826	1427
2302	1049
1538	504
889	-197
308	-973
-192	-1644
-667	-2124
-1130	-2483
-1721	-2854
-2409	-3292
-2792	-3676
-3048	-4014
-3385	-4356
-3855	-4777
-4429	-5292
-4850	-5639
-5268	-5802
-5505	-5780
-5475	-5624
-5536	-5626
-5653	-5794
-5970	-6073
-6254	-6158
-6213	-5796
-6171	-5464
-6055	-5425
-5691	-5154
-5029	-4268
-4463	-3423
-4504	-3275
-4854	-3624
-5289	-4089
-5466	-4190
-4868	-3363
-3654	-1775
-2520	-626
-2329	-707
-2899	-1399
-3102	-1498
-2310	-460
-820	1070
176	2047
66	1890
-471	1144
-692	900
-219	1565
424	2361
507	2160
193	1411
-131	992
147	1292
1291	2538
2345	3590
2190	3273
1113	2061
563	1278
965	1524
1578	2137
1756	2219
1238	1516
442	638
-71	195
122	363
865	853
1128	698
766	-78
264	-453
-101	-348
56	-52
330	176
245	-201
-91	-1026
-515	-1670
-789	-1849
-1014	-1693
-1350	-1731
-1545	-2022
-1375	-2093
-1049	-1919
-677	-1546
-112	-936
311	-334
288	-154
222	-197
530	169
1014	685
1512	1048
1899	1152
1833	846
1406	615
999	741
1084	1287
1887	2073
2792	2546
3381	2739
3871	3059
4129	3699
4267	4384
4533	4797
4672	4785
4749	4374
5026	4388
5478	5023
5680	5458
5498	5405
5193	4864
4764	4362
4548	4475
4828	4936
5514	5469
6138	5587
5857	4924
4752	3877
3565	3125
2881	2933
2989	2842
3534	2671
3831	2397
3244	1905
2216	1513
1631	1164
1225	592
870	-5
586	-532
296	-813
194	-810
-99	-1080
-832	-1911
-1868	-3033
-2870	-3828
-3275	-3883
-2979	-3490
-2390	-3193
-2440	-3614
-3384	-4568
-4293	-5099
-4772	-5045
-4853	-4798
-4602	-4799
-4599	-5210
-4915	-5595
-5174	-5574
-5182	-5177
-4992	-4872
-4975	-4850
-5180	-5004
-5436	-5174
-5328	-4858
-4866	-4269
-4399	-3770
-3897	-3220
-3817	-2926
-4019	-2898
-3730	-2562
-3043	-1809
-2211	-937
-1543	-368
-1557	-524
-2095	-1077
-2559	-1299
-2377	-832
-1400	219
-414	1188
-29	1445
-68	1103
-137	1010
-97	1437
45	1871
368	2033
278	1601
-243	950
-398	865
-303	1046
-135	1134
-227	972
-684	516
-632	583
-88	1309
467	1741
715	1507
226	732
-638	-120
-1037	-308
-699	140
-253	474
-183	235
-563	-497
-1193	-1251
-1336	-1317
-1007	-805
-733	-533
-764	-724
-1257	-1276
-1500	-1692
-1022	-1378
-590	-965
-736	-1211
-1387	-1881
-2058	-2449
-2056	-2376
-1159	-1485
97	-432
590	-130
79	-606
-322	-863
186	-289
1260	776
2074	1611
2319	1788
2174	1548
1805	1069
1659	715
1887	999
1988	1492
2131	1967
2791	2667
3674	3284
4163	3541
4102	3532
4111	3683
4407	4059
4723	4348
5117	4672
5464	4943
5420	4958
5037	4724
4877	4445
4898	4271
4676	3973
4537	3925
4796	4381
5081	4689
4811	4340
4234	3569
3803	2986
3324	2591
2857	2300
2558	2133
2422	1791
2432	1562
2609	1805
2777	2039
2240	1505
962	58
-34	-1184
-2	-1161
